epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,682.855,2.84763,4.22112,3.24838,0.7703,0.07315,0.05462,0.01808,2.27672,5.50422,2.54087,0.00333216,0.00333216,0.00333216
2,1341.4,1.98414,2.99903,2.15031,0.56657,0.15477,0.1439,0.06167,1.90214,5.06394,2.04012,0.00653352,0.00653352,0.00653352
3,1972.64,1.83957,2.63408,1.94385,0.45642,0.19505,0.18905,0.08828,1.77724,4.96005,1.86907,0.00960288,0.00960288,0.00960288
4,2605.32,1.74569,2.43137,1.82207,0.47366,0.23566,0.24529,0.12529,1.66501,3.69072,1.74215,0.009406,0.009406,0.009406
5,3237.83,1.66918,2.27645,1.74382,0.49078,0.27381,0.2832,0.15074,1.60203,3.24307,1.67039,0.009208,0.009208,0.009208
6,3857.12,1.62561,2.17864,1.69755,0.49792,0.29904,0.31276,0.17157,1.56095,3.09906,1.62771,0.00901,0.00901,0.00901
7,4469.89,1.59373,2.11137,1.6654,0.49441,0.31557,0.32733,0.18285,1.53351,3.07834,1.60087,0.008812,0.008812,0.008812
8,5082.65,1.57001,2.06196,1.64078,0.49081,0.33292,0.3406,0.19365,1.50862,2.96213,1.57777,0.008614,0.008614,0.008614
9,5696.98,1.55142,2.02271,1.62028,0.50592,0.33815,0.34916,0.20072,1.49057,2.91931,1.55928,0.008416,0.008416,0.008416
10,6315.83,1.53805,1.98613,1.60193,0.52252,0.34111,0.35725,0.20648,1.48107,2.87298,1.5485,0.008218,0.008218,0.008218
11,6933.36,1.52405,1.96159,1.58863,0.51819,0.35086,0.3637,0.21129,1.47112,2.81607,1.53814,0.00802,0.00802,0.00802
12,7553.93,1.51753,1.94299,1.58003,0.52881,0.35196,0.36801,0.21454,1.46402,2.78147,1.53127,0.007822,0.007822,0.007822
13,8172.95,1.50295,1.91986,1.57036,0.5404,0.35507,0.37167,0.21744,1.45844,2.76296,1.52627,0.007624,0.007624,0.007624
14,8792.13,1.50046,1.90197,1.56155,0.54729,0.35862,0.37603,0.22105,1.45261,2.72807,1.52078,0.007426,0.007426,0.007426
15,9409.64,1.48764,1.87897,1.55076,0.54278,0.36228,0.38015,0.22451,1.44693,2.6693,1.51578,0.007228,0.007228,0.007228
16,10021.5,1.48259,1.86628,1.54644,0.56729,0.35903,0.3856,0.22866,1.4418,2.61508,1.51097,0.00703,0.00703,0.00703
17,10628.9,1.47376,1.84902,1.53715,0.56425,0.36401,0.38889,0.23102,1.43681,2.55767,1.50618,0.006832,0.006832,0.006832
18,11243.5,1.46905,1.8407,1.53284,0.5685,0.36591,0.39354,0.2344,1.43167,2.49628,1.50121,0.006634,0.006634,0.006634
19,11845.4,1.4611,1.82239,1.52567,0.57226,0.36788,0.39731,0.23757,1.42732,2.45548,1.49618,0.006436,0.006436,0.006436
